"NumberExercises","NameExercises","Description","WorkOn","levelThis"
1,"סקוואט כנגד מוט","מקמו את הרגליים בפיסוק גדול בקצת מרוחב הכתפיים. את אצבעות הרגליים יש להטות כלפי חוץ, בערך 30-45 מעלות.",1,1
20,"משיכת פולי עליון באחיזה הפוכה","1.הגו נוטה מעט לאחור. 2.התנועה במרפק לכיוון צלעות תחתונות. 3.הורדת משולש עד חזה עליון. 4.בזמן ביצוע התרגיל יש נטייה לבצע הרמת שכמות וכך יופעל טרפז עליון באופן דומיננטי יותר לכן מומלץ לבצע הורדת שכמות למטה . 5.בתרגיל מרפק מוביל תנועה.",3,6
21,"חתירה מכשיר","1.אחיזה צרה,מרפקים מקבילים אחד לשני וקרובים לצדי גוף. 2.מרפק מוביל תנועה. 3.בזמן ביצוע התרגיל יש להקפיד על גו ישר ומוטה מעט לאחור. 4.הכרית התומכת מלפנים ממוקמת בבית החזה.  5.הוצאת אויר בזמן מאמץ(חתירה)והכנסת  אויר בזמן יישור ידיים.",3,0
22,"שכיבות סמיכה","1.כפות ידיים מעט מעבר לרוחב כתפיים 2.בזמן ירידה,ידיים צריכות להיות בקו החזה. 3.מרפק מוביל תנועה. 4.בסיום התנועה לא לנעול מרפקים. 5.בזמן ביצוע התרגיל לשמור על גו ישר.",2,2
23,"שכיבות סמיכה שיפוע חיובי","1.כפות ידיים מעט מעבר לרוחב כתפיים 2.בזמן ירידה,ידיים צריכות להיות בקו החזה. 3.מרפק מוביל תנועה 4.בסיום התנועה לא לנעול מרפקים. 5.בזמן ביצוע התרגיל לשמור על גו ישר.",2,3
24,"שכיבות סמיכה שיפוע שלילי","1.כפות ידיים מעט מעבר לרוחב כתפיים 2.בזמן ירידה,ידיים צריכות להיות בקו החזה. 3.מרפק מוביל תנועה 4.בסיום התנועה לא לנעול מרפקים. 5.בזמן ביצוע התרגיל לשמור על גו ישר.",2,4
25,"מקבילים באחיזה רחבה","1.כפות ידיים מעט מעבר לרוחב כתפיים 2.מרפק מוביל תנועה. 3.בסיום התנועה לא לנעול מרפקים. 4.בזמן ביצוע התרגיל גו מוטה טיפה קדימה. 5.הוצאת אויר בזמן מאמץ(עליה)והכנסת אויר בזמן ירידה.",2,4
26,"שכיבות סמיכה על כדור","1.כפות ידיים מעט מעבר לרוחב כתפיים 2.בזמן ירידה,ידיים צריכות להיות בקו החזה. 3.מרפק מוביל תנועה. 4.בסיום התנועה לא לנעול מרפקים. 5.בזמן ביצוע התרגיל לשמור על גו ישר. 6.הוצאת אויר בזמן מאמץ(עליה)והכנסת אויר בזמן ירידה.",2,5
27,"שכיבות סמיכה על בוסו","1.כפות ידיים מעט מעבר לרוחב כתפיים 2.בזמן ירידה,ידיים צריכות להיות בקו החזה. 3.מרפק מוביל תנועה. 4.בסיום התנועה לא לנעול מרפקים. 5.בזמן ביצוע התרגיל לשמור על גו ישר. 6.הוצאת אויר בזמן מאמץ(עליה)והכנסת אויר בזמן ירידה.",2,6
28,"פשיטת מרפק עם גומיה","1.בזמן ביצוע תרגיל מומלץ שרגל אחד תהיה מעט קדימה או פיסוק ברגליים,על מנת ליצב גוף יותר טוב. 2.בזמן ביצוע תרגיל חשוב להקפיד שאין תנועה בעמוד השדרה. 3.חשוב לשמור על טווח תנועה מלא,לא לנעול מרפק בישור.",2,6
29,"הרחקת כתפיים Cross over","1.תחילת התנועה הידיים ממוקמת בצידי הגוף. 2.בזמן ביצוע תרגיל אין תנועה במרפק. 3.בזמן ביצוע תרגיל יש לכופף טיפה את מרפקים על מנת להפעיל את מייצבים יותר חזק.",4,2
30,"הרחקת כתף ב Cross over","1.תחילת התנועה הידיים ממוקמת בצידי הגוף.",4,3
31,"חתירה(פולי תחתון)ב Cross over","תחילת התנועה הידיים ממוקמת בצידי הגוף. 2.בתרגיל זה יש להקפיד על פישוק קל ברגליים. 3.בזמן ביצוע תרגיל יש לכופף טיפה את ברכיים על מנת להפעיל את מייצבים יותר חזק.",4,4

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
